ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
4768,15,1,8,4,588.6534164,0,0
4769,15,0,8,4,588.6534164,0,0
4770,16,18,2,1,0,0,0
4771,16,18,8,1,0,0,0
4772,16,18,34,1,0,0,0
4773,16,18,21,1,0,0,0
4774,16,18,36,1,0,0,0
4775,16,18,2,1,0,0,0
4776,16,18,21,1,0,0,0
4777,16,18,8,1,0,0,0
4778,16,18,34,1,0,0,0
4779,16,18,36,1,0,0,0
4780,16,2,-1,1,11.38727218,188,0
4781,16,2,36,1,29.52679241,19.39252336,41.23809524
4782,16,7,34,1,53.72563265,0,0
4783,16,5,36,1,75.38035794,64.01869159,24.0952381
4784,16,2,-1,1,79.76563015,180,0
4785,16,13,21,1,79.76563015,0,0
4786,16,0,-1,1,79.76563015,180,0
4787,16,2,36,1,98.25102846,29.20560748,47.42857143
4788,16,15,21,1,112.9986732,188,0
4789,16,8,21,1,112.9986732,0,0
4790,16,5,8,1,143.6278872,65.18691589,33.33333333
4791,16,6,34,1,146.8145921,0,0
4792,16,5,2,1,151.3557405,68.80841121,59.80952381
4793,16,13,36,1,163.7328506,0,0
4794,16,7,36,1,167.6468526,0,0
4795,16,3,21,1,188.5971497,42.05607477,58.38095238
4796,16,6,21,1,188.5971497,0,0
4797,16,3,8,1,188.5971497,37.38317757,54.85714286
4798,16,6,36,1,188.5971497,0,0
4799,16,5,21,1,190.6326886,49.88317757,90.28571429
4800,16,7,36,1,212.5163461,0,0
4801,16,5,21,1,224.8997795,58.41121495,22.47619048
4802,16,5,21,1,252.1797373,13.78504673,94.0952381
4803,16,6,8,1,256.9215617,0,0
4804,16,2,8,1,256.9215617,21.96261682,43.9047619
4805,16,2,-1,1,268.0910487,182,0
4806,16,2,-1,1,275.9236202,180,0
4807,16,10,36,1,297.566756,0,0
4808,16,4,8,1,299.8686346,66.0046729,67.23809524
4809,16,7,8,1,307.5228643,0,0
4810,16,15,36,1,319.4556952,188,0
4811,16,19,21,1,319.4556952,0,0
4812,16,18,4,1,319.4556952,0,0
4813,16,2,36,1,331.0054366,26.28504673,33.33333333
4814,16,7,8,1,359.8455584,0,0
4815,16,2,8,1,362.7941645,26.28504673,46.66666667
4816,16,7,8,1,382.8739593,0,0
4817,16,3,36,1,400.9892141,12.96728972,80.95238095
4818,16,13,8,1,419.671033,0,0
4819,16,19,2,1,421.794774,0,0
4820,16,18,14,1,421.794774,0,0
4821,16,19,36,1,421.794774,0,0
4822,16,18,9,1,421.794774,0,0
4823,16,0,-1,1,421.794774,186,0
